protein,interactors
NUP93,NUP58 SMARCA5 NUP50 NUP188 HSPA8 NUP160 NUP42 AHCTF1 CENPB NUP205 HSPA5 NUP153 SUPT16H SEH1L NUP54 NUP35 RACGAP1 RANBP2 AAAS SEC13 ZC3H13 PLPPR3 SRRT NUP37 NUP133 RSF1 NDC1 DDB1 NUP107 KIF23 NUP85 SSRP1 NUP88 RNF2 WTAP CENPC RAE1 WDR11 CENPO SHCBP1 CENPH CENPU NUP210 CBX8 NUP214 COBLL1 NUP155 GLE1 POM121 FBL CENPL RING1 BMI1 VIRMA CENPM NUP62 CUL4A DHX38 NUP98 NUP43 CBX3 TPR ZFP91 CENPI CENPK CENPA
SHCBP1,SMARCA5 NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 ZC3H13 PLPPR3 SRRT RSF1 DDB1 KIF23 SSRP1 RNF2 WTAP CENPC WDR11 CENPO CENPH CENPU CBX8 COBLL1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
DHX38,SF3A1 YJU2 RBMX DHX8 SNRPA1 SNRPD1 CENPB PPIE SUPT16H HNRNPA3 SRRM1 KIF23 SNRNP40 SSRP1 WDR11 CENPO CENPU CBX8 FRG1 LSM3 HNRNPH1 CENPL SNRPE SNRPB2 CENPI DDX5 MAGOH RBM8A EFTUD2 HSPA5 RBM22 RALY RACGAP1 U2AF1 EIF4A3 SF3A3 PRPF6 PLPPR3 CWC15 SF3B1 DDB1 AQR CWC25 SHCBP1 BCAS2 SRSF1 SRRM2 SF3B3 ISY1 HNRNPM PPIL3 ZCCHC8 SNRPD3 CBX3 CENPK SMARCA5 SNRPD2 CWC22 SYF2 DDX23 DDX41 PPWD1 SNRNP200 ZC3H13 SNRPB RSF1 SART1 HNRNPU XAB2 CENPH WDR83 MTREX HNRNPF ESS2 COBLL1 CRNKL1 HNRNPC FBL CENPM DHX35 BUD31 PPIG CDC5L PNN SYNCRIP NUP93 ALYREF HSPA8 LSM2 SNRPF CWC27 HNRNPA2B1 HNRNPK TFIP11 CACTIN SRRT PRPF8 CASC3 SNW1 PPIL1 RNF2 WTAP CENPC HNRNPA1 PABPC1 SF3B2 CDC40 HNRNPR GPATCH1 PRPF19 RING1 BMI1 VIRMA SF3A2 SLU7 CUL4A PLRG1 ZFP91 PRPF4B SNRPG CENPA
CENPI,SMARCA5 ITGB3BP NUP93 H4C12 H4C6 HSPA8 H4C9 CENPB H4C13 HSPA5 H4C14 H2BC3 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT H2AC1 H4C8 H4C5 H4C1 RSF1 HJURP DDB1 CENPP KIF23 SSRP1 RNF2 WTAP CENPC CENPQ WDR11 H4C3 CENPO SHCBP1 CENPH CENPU H4C11 CBX8 H4C2 CENPN COBLL1 H4C15 H4C4 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPK H4-16 CENPA
ZFP91,SMARCA5 NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 ZC3H13 PLPPR3 SRRT RSF1 DDB1 KIF23 SSRP1 RNF2 WTAP CENPC WDR11 CENPO SHCBP1 CENPH CENPU CBX8 COBLL1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 CENPI CENPK CENPA
CENPK,SMARCA5 ITGB3BP NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT CENPS RSF1 DDB1 CENPP KIF23 SSRP1 RNF2 WTAP CENPC CENPQ WDR11 CENPO SHCBP1 CENPH CENPU CBX8 CENPN COBLL1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPA
CENPO,SMARCA5 ITGB3BP NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT CENPS RSF1 DDB1 CENPP KIF23 SSRP1 RNF2 WTAP CENPC CENPQ WDR11 SHCBP1 CENPH CENPU CBX8 CENPN COBLL1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
SRRT,SF3A1 SFSWAP RBMX SNRPA1 RBM10 SMARCA4 SNRPD1 CENPB STRAP PBRM1 SUPT16H ACTL6A ZC3H18 SF1 HNRNPA3 RUVBL1 SRSF4 SUGP1 SRRM1 SNRNP70 KIF23 GEMIN4 SSRP1 SNRNP40 WDR11 CENPO CENPU ELAVL1 CBX8 LSM4 DDX42 CPSF7 HNRNPUL1 PRPF3 HNRNPH1 ILF2 CENPL DHX38 SNRPE CIRBP PUF60 SMARCC1 SNRPB2 CENPI ZNF207 DDX5 CPSF1 NRIP2 ARID1B CD2BP2 SMNDC1 LUC7L2 LUC7L3 PCBP2 NCBP1 EFTUD2 PPP1CA RBM17 PRPF4 HSPA5 RNPS1 HNRNPL HNRNPAB DDX39B DDX39A RACGAP1 U2AF1 SF3A3 PRPF6 SART3 PLPPR3 WBP11 TCERG1 CWC15 SF3B1 DDX20 SMN2 DDB1 SRSF9 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 SHCBP1 BCAS2 SRSF1 SRRM2 SF3B3 SNRPA GEMIN8 HNRNPM ZCCHC8 FLJ10154 SAP30BP SNRPD3 CCAR2 RUVBL2 CBX3 CENPK SRSF2 SMARCA2 SMARCA5 NUDT21 TRIR SNRPD2 HNRNPA0 DDX23 GEMIN5 RBMXL2 ACTBL2 CTNNBL1 SEC31B PRPF31 SNRNP200 ZC3H13 SNRPB RSF1 ARID2 SART1 CCAR1 HNRNPU GEMIN6 CHD8 TRA2B DHX15 ARID1A SCAF4 CENPH SRSF7 PHF5A MTREX HTATSF1 CFAP20 HNRNPF DDX46 COBLL1 GEMIN2 RBM42 ACIN1 HNRNPC U2AF2 FBL CENPM SRSF11 SMARCE1 PRCC CHERP CDC5L CDK11A PNN YBX1 SYNCRIP PPP1R8 NUP93 ALYREF PRPF40A HSPA8 SNRPF SRSF5 SNRPG HNRNPA2B1 HNRNPK PPIH NCBP2 PQBP1 ILF3 PRPF8 SRSF3 AGGF1 SMARCA1 SREK1 SNRPC RNF2 WTAP CENPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 SF3B2 USP39 HNRNPR BUB3 SMARCB1 PRPF19 CHD4 SF3B5 SF3B6 RBM5 SRSF8 RBM7 SMARCD1 RING1 BMI1 VIRMA SF3A2 SMN1 CUL4A U2SURP DDX17 PLRG1 ZFP91 RBM25 CENPA
WDR11,SMARCA5 NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 GLI3 ZC3H13 PLPPR3 SRRT RSF1 DDB1 KIF23 SSRP1 RNF2 WTAP CENPC CENPO SHCBP1 CENPH CENPU CBX8 COBLL1 Emx1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 C17orf75 CBX3 ZFP91 CENPI CENPK CENPA
RACGAP1,SMARCA5 NUP93 HSPA8 CENPB HSPA5 SUPT16H ZC3H13 PLPPR3 SRRT ECT2 RSF1 DDB1 KIF23 SSRP1 RNF2 WTAP CENPC WDR11 CENPO SHCBP1 CENPH CENPU CBX8 COBLL1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
SUPT16H,SMARCA5 MAML1 H4C12 CSNK2A1 MED1 SMARCA4 CENPB ZFP91 EIF3L H4C14 H2BC3 VDR ACTL6A CHAF1A POLR2A TOP2B ZC3H13 H2AC1 H4C5 H4C1 RSF1 H2BU1 KIF23 SSRP1 WDR11 H4C3 ARID1A CENPO CENPH CENPU SSB CBX8 RBPJ CCNT1 CENPN COBLL1 H4C4 FBL CENPL CDK9 CENPM SMARCE1 DHX38 BAZ1B SMARCC1 CENPI H4-16 NUP93 H4C6 HSPA8 CALM1 H4C9 HSPA5 EP300 NEK9 RACGAP1 H2AX CENPT SRRT PLPPR3 H4C8 HJURP DDB1 CALR CSNK2B RNF2 WTAP CENPC SMARCC2 CDK7 SHCBP1 PABPC1 H4C11 HNRNPR SMARCB1 H4C2 CSNK2A2 H4C15 SUPT6H NOTCH1 SMARCD1 RING1 BMI1 VIRMA CUL4A CDK8 INPP5K CBX3 NPM1 H4C13 CENPK CENPA SMARCA2
ARHGEF7,PAK1 PXN GIT1 GIT2 SCRIB
GIT1,PXN PAK1 ENTR1 SCRIB ARHGEF7 MAT2B PTPN13 ITGA4
APC,DLG4 RAC1 CDC42 CTNNB1 TUBA1A SCRIB GSK3B AXIN1 IQGAP1 TUBG1 CLIP1
NEK9,SSRP1 SUPT16H
CSNK2A2,CSNK2B SSRP1 RNF2 FBRSL1 CSNK2A1 YAF2 PCGF5 SUPT16H AUTS2 PCGF3 HMGB1 RYBP RING1 FBRS
CSNK2B,SSRP1 RNF2 FBRSL1 CSNK2A1 YAF2 PCGF5 CSNK2A2 SUPT16H AUTS2 PCGF3 HMGB1 RYBP RING1 FBRS
CSNK2A1,CSNK2B SSRP1 RNF2 FBRSL1 YAF2 PCGF5 CSNK2A2 SUPT16H AUTS2 PCGF3 HMGB1 RYBP RING1 FBRS
STX7,VPS11 VPS18
VPS11,VPS33A VPS8 VPS41 TGFBRAP1 VPS18 VPS16 RAB5A VPS39 STX7 EEA1
VPS18,VPS33A VPS8 VPS41 HOOK1 TGFBRAP1 VPS11 VPS16 AKTIP RAB5A VPS39 STX7 EEA1
VPS16,VPS33A TGFBRAP1 VPS11 VPS18 AKTIP HOOK3 HOOK2 EEA1 VPS8 VPS41 HOOK1 RAB5A VPS39
CDC7,DBF4
DBF4,CDC7
PARD6B,LLGL1 LLGL2 PARD3 CDC42 PRKCI
LLGL1,PRKCI PARD6B
EED,YY1 RBBP4 EZH2 SIRT1 PHF19 AEBP2 SUZ12 CUL4A HIC1 DDB1 RBBP7
SUZ12,RBBP4 EZH2 PHF19 PRMT7 AEBP2 SMARCA4 SMARCA2 BRD7 EED HIC1 RBBP7
EZH2,YY1 SIRT1 PHF19 MCM4 AEBP2 SUZ12 MCM2 BRD7 EED HIC1 MCM3 CHAF1B CHAF1A RBBP4 MCM6 MCM7 MCM5 SETDB1 CDYL EHMT2 RBBP7
AEBP2,SUZ12 RBBP4 EZH2 EED
GPAA1,PIGT PIGU PIGS PIGK
PIGK,PIGT PIGU PIGS GPAA1
PIGT,PIGU PIGS PIGK GPAA1
PIGS,PIGT PIGU PIGK GPAA1
PIGU,PIGT PIGS PIGK GPAA1
KIN,PCNA RPA1
HNRNPA2B1,SF3A1 SFSWAP RBMX DHX8 SNRPA1 RBM10 SMARCA4 SNRPD1 STRAP PPIE PBRM1 ACTL6A ZC3H18 SF1 HNRNPA3 RUVBL1 SRRM1 SRSF4 SUGP1 SNRNP70 SNRNP40 GEMIN4 ELAVL1 LSM4 FRG1 DDX42 LSM3 CPSF7 HNRNPUL1 HNRNPH1 PRPF3 ILF2 DHX38 SNRPE CIRBP PUF60 SMARCC1 SNRPB2 DDX5 ZNF207 CPSF1 MAGOH NRIP2 ARID1B CD2BP2 SMNDC1 RBM8A LUC7L2 LUC7L3 PCBP2 NCBP1 EFTUD2 PPP1CA RBM17 PRPF4 RNPS1 HNRNPL HNRNPAB RBM22 RALY DDX39B DDX39A U2AF1 EIF4A3 SF3A3 PRPF6 SART3 WBP11 CWC15 TCERG1 SF3B1 DDX20 SMN2 SRSF9 SF3B4 AQR RBM39 PTGES3 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 BCAS2 SRSF1 SRRM2 SF3B3 ISY1 SNRPA GEMIN8 HNRNPM PPIL3 ZCCHC8 FLJ10154 SAP30BP SNRPD3 CCAR2 RUVBL2 SRSF2 SMARCA2 NUDT21 TRIR SNRPD2 CWC22 SYF2 DDX23 HNRNPA0 GEMIN5 DDX41 RBMXL2 ACTBL2 PPWD1 CTNNBL1 SEC31B PRPF31 SNRNP200 SNRPB ARID2 SART1 CCAR1 HNRNPU GEMIN6 CHD8 TRA2B DHX15 XAB2 ARID1A SCAF4 SRSF7 WDR83 PHF5A MTREX HTATSF1 CFAP20 HNRNPF DDX46 ESS2 GEMIN2 CRNKL1 RBM42 ACIN1 HNRNPC PDCD6 U2AF2 DHX35 SRSF11 SMARCE1 PRCC CDC5L CHERP CDK11A PNN YBX1 RBM25 SYNCRIP PPP1R8 ALYREF PRPF40A HSPA8 LSM2 SNRPF CWC27 SRSF5 HNRNPK TFIP11 PPIH CACTIN NCBP2 PQBP1 SRRT ILF3 PRPF8 SRSF3 AGGF1 SMARCA1 SNW1 PPIL1 SREK1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 PABPC1 SF3B2 CDC40 HNRNPR BUB3 USP39 SMARCB1 GPATCH1 PRPF19 CHD4 SF3B5 SF3B6 RBM5 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 SLU7 U2SURP DDX17 PLRG1 PRPF4B SNRPG
PTGES3,HNRNPA2B1 PDCD6 HSP90AA1
PDCD6,PTGES3 CUL3 PDCD6IP MVB12B HNRNPA2B1 VPS37C VPS37B VPS37A VPS28 KLHL12 TSG101 PEF1 VPS37D
TOR1A,TOR1B TOR1AIP1
TOR1B,TOR1A
POLA1,RPA1 RFC3 TOP2A POLE POLD3 CDK2 RFC1 PRIM1 RFC2 PARP1 RPA2 RPA3 POLA2 POLD4 CCNA2 RFC5 PRIM2 POLD2 POLE2 LIG1 RFC4 PCNA CCNB1 POLD1 CDK1 POLE4 TOP1 POLE3
CCNA2,RPA1 RBL1 RFC5 RFC3 POLE E2F1 LIG1 RFC4 CDK2 RFC1 CCNB1 POLD1 RFC2 PARP1 CDC25C POLA1 RPA2 CDK1 RPA3 POLA2 TOP1 E2F4
POLA2,RPA1 RFC3 TOP2A POLE POLD3 CDK2 RFC1 PRIM1 RFC2 POLA1 POLD4 CCNA2 RFC5 PRIM2 POLD2 POLE2 LIG1 RFC4 PCNA POLD1 POLE4 TOP1 POLE3
TOP1,RBMX RPA1 RPS2 SRP14 TOP2A SUB1 RPL9P8 RPS16 RFC1 PARP1 RPL36 POLA2 POLD4 RPS9 RPS3A PRIM2 RPL13 GTF3C2 SFPQ CCNB1 ILF2 RPL19 NOP58 RPL30 RPS17 RPS8 RPL31 RPL7A GTF3C5 SNU13 RPL21 LUC7L2 EBNA1BP2 RPS29 RPL9 POLE U2AF1 RPLP0 PRIM1 RFC2 RPS24 POLA1 RPL23A RPL6 RPS11 RPL18 DHX9 RPL29 RPL12 PWP1 POLE2 GTF3C3 SRPK1 NAP1L1 HNRNPM PCNA RPS15 TUFM RPS15A BRIX1 NPM1 GNL3 RPS23 RPL10A RPS7 ACTA2 RPS12 RPL27 RBM28 RPL4 RPL23 GTF3C1 RPL8 RPL14 RPL27A CDK2 RPL35 LYAR RPA2 RPA3 HNRNPU RPL28 RPL32 POLD2 LIG1 SCYL2 RPLP1 U2AF2 FBL DDX21 RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 POLE4 CDC5L RPL22 YBX1 NCL H1-10 RPL26 RPL13A MYBBP1A RPL37A ALYREF RPL36A EEF2 RPL11 RPS14 RPL3 ACTG2 RPS6 NONO GTF3C4 H2BC14 POLD3 RPL10 ILF3 TUBA1A EEF1A1 RSL1D1 H1-3 NOP56 RPL35A RPS13 CCNA2 HNRNPA1 RPL9P9 RPL17 PRPF19 TCOF1 RPLP2 RPL5 RPL15 POLD1 RPS18 CDK1 TUBB1 RPL7 IGF2BP1 POLE3
LIG1,RPA1 ERCC3 CCNA2 ERCC2 GTF2H1 PRIM2 POLE POLD2 POLE2 POLD3 RAD1 CDK2 RFC1 PCNA RAD9A XPA POLD1 PRIM1 RFC2 PARP1 POLA1 RPA2 POLE4 RPA3 POLA2 POLD4 TOP1 ERCC1 ERCC5 POLE3 HUS1
POLE,RPA1 TOP2A POLD3 CDK2 RFC1 PRIM1 RFC2 PARP1 POLA1 RPA2 RPA3 POLA2 POLD4 CCNA2 PRIM2 POLD2 POLE2 LIG1 PCNA CCNB1 POLD1 CDK1 POLE4 TOP1 POLE3
HNF4A,SUB1
SUB1,GTF3C3 GTF3C2 HNF4A TOP1 GTF3C5 GTF3C1 GTF3C4
GTF2H5,CDK7 GTF2H3 GTF2H1 MNAT1 GTF2H2 GTF2H4 ERCC2 ERCC3 CCNH
ORC5,ORC1 ORC4 ORC6 ORC3 ORC2
ORC4,ORC1 XRCC5 ORC5 ORC6 ORC3 XRCC6 ORC2
ORC1,CDC6 ORC4 BRCA1 ORC5 ORC6 ORC3 ORC2 GMNN
ORC2,CDC6 ORC1 ORC4 MCM8 XRCC5 ORC5 ORC6 ORC3 XRCC6
ORC3,ORC1 ORC4 XRCC5 ORC5 ORC6 XRCC6 ORC2
ORC6,ORC1 ORC4 XRCC5 ORC5 ORC3 XRCC6 ORC2
PCLAF,ING1 PCNA
TJP1,PCF11 CPSF6 NUDT21 ERCC3 CAPRIN1 CTNNB1 DHX16 CPSF3 CLP1 CDH5 PKP1 CPSF7 MRE11 U2AF1 ACTB SFPQ U2AF2 PTBP1 GTF2H4 DTNA KDR
DTNA,TJP1 CTNNAL1 ACTB
SRA1,NCOA1
XPO1,SNUPN PHAX RAN NCBP1 AURKB BIRC5 RANBP3 NCBP2 NMD3
SNUPN,RAN SMN1 KPNB1 ZPR1 XPO1 SMN2
RAN,SNUPN HDAC2 SMARCA5 PHAX NXF1 EIF1AX XPO6 IPO7 WDR5 TNPO1 DLD NCBP1 KPNA2 CSE1L EFTUD2 XPOT ZNF346 KPNA4 NCBP2 TNPO2 RBBP4 MBD3 HDAC1 XPO7 KDM1A IPO5 IPO8 ILF3 SYMPK TNPO3 IPO4 IPO13 KPNA6 RCC1 NMD3 TAF9 RBBP7 SAP30 SMARCC2 IPO9 TBP SIN3A TAF12 KPNB1 RBBP5 XPO1 CPSF2 IPO11 SMARCB1 MTA2 RANBP3 TAF6 CHD3 NFE2L1 KPNA3 XPO4 KPNA1 XPO5 SAP18 TAF1 KMT2A SMARCC1 RANBP1 SMARCA2
FBXW11,REL PDCD2 IKBKG POLR2H MCC NFKBIA RASAL2 POLR1B KPNA2 LRPPRC POLR1A MTIF2 RELA IKBKB CUL1 POLR1D RBX1 IQGAP2 NFKBIB NFKB2 POLR1E POLR1G SKP1 POLR2L CHUK NFKB1
BCL3,ESR1 RELA NCOA3
RELA,PDCD2 IKBKG FBXW11 PTPN2 ESR1 USP2 POLR1B KPNA2 STAT3 SPAG9 SP1 LRPPRC ELP1 MTIF2 BTRC COPB2 FBXW7 CUL1 MAP3K14 POLR1D NFKBIB RELB POU2F1 TNIP2 POLR1E RPL6 POLR1G SKP1 COMMD1 MUC1 REL SEC16A BCL3 YY1 DDX3X RPS13 TNIP1 POLR2H PPP6R2 MCC NFKBIA RASAL2 PAPOLA NCOA3 GLG1 POU2F2 AKAP8L GTF2I POLR1A IKBKB PPP6C KPNA3 NFKBIE ANKRD28 IQGAP2 PPP6R1 NFKB2 IKBKE RPL30 POLR2L MAP3K8 CHUK NFKB1
PML,SMAD3 ZMYM2 SMAD2 ZFYVE9
SUMO1,UBA2 TCF4 ZMYM2 CTNNB1 HDAC6 PIAS1 UBE2I EP300 SAE1 SYT7
CCDC85B,MCRS1
SNX6,SNX1
VPS26B,SNX2 VPS29 VPS35 SNX1
BCL2,BECN1 TP53 PIK3R4 BFAR UVRAG CASP8 CALM1 PIK3C3 CISD2 FKBP8
CASP8,BCL10 CASP10 TICAM1 TRAF2 RIPK3 TLR3 BFAR AIM2 BCL2 NLRP3 CFLAR ZBP1 FAS BIRC2 CD95 IKBKB NLRC4 MEFV TRADD FADD MALT1 CASP1 PYCARD PSMC5 BCL2L1 CARD9 RIPK1 CHUK LRRK2
BFAR,BCL2 CASP8
CYTH3,TAMALIN
TAMALIN,CYTH3
IFI35,NMI
NMI,YWHAQ BANF2 HDAC3 H3C3 PDCD4 POLR1B CKB H3C7 LMNB1 IQGAP1 THRA H3C2 HNRNPK SNRPD1 RRN3 HNRNPL HDGF DDX39A TBL1Y LMNA HDAC1 ACTB H3C8 H3C6 ILF3 YWHAE LEMD3 LSM8 HNRNPU EMD H3C4 SPTAN1 SMARCC2 RB1 MCM4 RBL1 RCOR1 MED4 TRIM28 MCM2 H3C11 API5 SMARCB1 TBL1XR1 CHD4 IFI35 RBL2 MCM6 H3C12 H1-1 C1QBP SAP18 H3C10 SAP130 SMARCC1 DPY30 H3C1
CD8A,LCK
LCK,CAMLG VIM LCP2 TUBA1C PTK2B PTPRCAP MYH9 TFRC CD8A LAT MS4A1 CD4 LYN PTPRC NOTCH1 PIK3R1 FYN PLCG1 TUBB EPHA1
SRSF7,SF3A1 SFSWAP RBMX SNRPA1 RBM10 SMARCA4 SNRPD1 STRAP PBRM1 ACTL6A ZC3H18 SF1 HNRNPA3 RUVBL1 SRSF4 SUGP1 PRKRIP1 SRRM1 SNRNP70 GEMIN4 SNRNP40 ELAVL1 LSM4 DDX42 CPSF7 HNRNPUL1 PRPF3 HNRNPH1 ILF2 SNRPE CIRBP PUF60 SMARCC1 SNRPB2 ZNF207 DDX5 CPSF1 NRIP2 ARID1B CD2BP2 SMNDC1 LUC7L2 SNRNP48 LUC7L3 PCBP2 NCBP1 EFTUD2 PPP1CA RBM17 PRPF4 RNPS1 HNRNPL HNRNPAB DDX39B DDX39A U2AF1 SF3A3 PRPF6 SART3 WBP11 TCERG1 CWC15 SF3B1 DDX20 SMN2 SRSF9 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 BCAS2 SRSF1 SRRM2 SF3B3 SNRPA GEMIN8 HNRNPM ZCCHC8 FLJ10154 SAP30BP SNRPD3 CCAR2 RUVBL2 SRSF2 SMARCA2 NUDT21 TRIR SNRPD2 HNRNPA0 DDX23 GEMIN5 RBMXL2 ACTBL2 CTNNBL1 SEC31B PRPF31 SNRNP200 SNRPB ARID2 SART1 CCAR1 HNRNPU GEMIN6 CHD8 PDCD7 TRA2B DHX15 ARID1A SCAF4 PHF5A MTREX TOE1 HTATSF1 CFAP20 HNRNPF DDX46 GEMIN2 RBM42 ACIN1 HNRNPC U2AF2 SRSF11 SMARCE1 PRCC CHERP CDC5L CDK11A SNRNP35 PNN YBX1 RBM25 SYNCRIP PPP1R8 ALYREF PRPF40A HSPA8 SNRPF SRSF5 HNRNPA2B1 HNRNPK PPIH SNRNP25 NCBP2 PQBP1 SRRT ILF3 PRPF8 SRSF3 AGGF1 SMARCA1 SREK1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 SF3B2 USP39 HNRNPR BUB3 SMARCB1 PRPF19 CHD4 SF3B5 SF3B6 RBM5 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 U2SURP DDX17 PLRG1 SNRPG
TOE1,YBX1 PDCD7 SNRPD2 SRSF7 SNRNP48 SNRPF SNRPB SNRPD3 SNRPE SNRPD1 SNRNP25 PRKRIP1 SNRPG SNRNP35
PRKRIP1,YBX1 PDCD7 SNRPD2 SRSF7 SNRNP48 SNRPF SNRPB SNRPD3 SNRPE TOE1 SNRPD1 SNRNP25 SNRPG SNRNP35
FGF2,API5
API5,HNRNPU YWHAQ PDCD4 CKB LMNB1 THRA HNRNPK SNRPD1 HNRNPL RBL2 HDGF DDX39A NMI ACTB H1-1 ILF3 C1QBP YWHAE FGF2 LEMD3 LSM8 IQGAP1 EMD
SNX4,EGFR LEPR INSR SNX2 SNX1 PDGFRA
PKHD1,PKD2
PKD2,ARFIP2 PCNT IFT57 ARL1 ARF1 PACS1 PKHD1 IFT20 IFT88
CCNT1,CDK7 PPARGC1A MAML1 NCL HEXIM1 MLLT3 MED1 MED17 CPSF2 RBPJ EP300 LARP7 SUPT16H SKP2 SUPT6H POLR2A MED14 MED12 GRN NOTCH1 MLLT1 EAF1 ELL3 CDK9 AFF1 ELL CDK8 INPP5K AFF4 ELL2 BRD4 CCNT2 MED24
CDK9,PPARGC1A MAML1 NCL MLLT3 MED1 EP300 SUPT5H SUPT16H SKP2 POLR2A MED14 MED12 ELL3 ELL AFF4 CCNK ELL2 CCNT2 AFF1 CDK7 HEXIM1 MED17 HTATSF1 CPSF2 RBPJ CCNT1 LARP7 SUPT6H MLLT1 NOTCH1 EAF1 CDK8 INPP5K IL6ST BRD4 MED24
CCNT2,AFF1 MLLT1 MLLT3 EAF1 ELL3 CDK9 ELL AFF4 ELL2 CCNT1
CCNK,CDK13 CDK9 CDK12
PDXK,POLB LIG3 XRCC1 NEIL1 NEIL2
NEIL2,XRCC1 POLB PDXK LIG3
NEIL1,XRCC1 POLB PDXK LIG3
BIRC5,RASA1 XIAP AURKB XPO1 INCENP EVI5 CDCA8 AURKA
EVI5,AURKB INCENP BIRC5
AURKB,VRK1 RASA1 XPO1 INCENP BIRC5 EVI5 CDCA8 AURKA
INCENP,AURKB BIRC5 EVI5 CDCA8 AURKA
PRNP,None
None,GRB2 PRNP HSPA8 HNRNPD PABPC1 EIF4G1
LIN7A,MPP7 PALS2 DLG1 APBA1 CASK
PALS2,LIN7A
LEPR,SNX2 SNX4 SNX1
INSR,KHDRBS1 PIK3R1 IRS1 SNX2 SNX4 SNX1
HSPD1,SF3A1 HMG20B SNRPD2 LYRM4 SMNDC1 SNRPA1 SNRPF SNRPG SNRPD1 RBM17 SDHA U2AF1 ATP5L SF3A3 HSPA9 SNRPB SF3B1 SF3B4 DNAJC8 DHX15 TRAP1 AFG3L2 SRSF1 FXN PHF5A SF3B2 SF3B3 DDX46 SF3B5 SF3B6 U2AF2 SF3A2 SNRPD3 U2SURP SNRPE CHERP PUF60 SNRPB2
SDHA,HSPD1 FXN ATP5L HSPA9 LYRM4 AFG3L2
HSPA9,TIMM21 TIMM17B LYRM4 AFG3L2 GRPEL2 FXN TIMM44 TIMM23 TIMM17A GRPEL1 COA3 SDHA ATP5L ROMO1 TIMM50 HSPD1
FXN,NFS1 ATP5L HSPA9 LYRM4 AFG3L2 HSPD1 ISCU SDHA
LYRM4,NFS1 ATP5L HSPA9 AFG3L2 HSPD1 FXN ISCU SDHA
AFG3L2,HSPD1 FXN ATP5L HSPA9 LYRM4 SDHA
EGFR,RIN1 SRC TNK2 SLC9A3R1 GRB2 PTEN TM4SF5 VAV2 CDCP1 SH3GL2 ERBB2 PIK3C2A PIK3C2B SNX2 CBLB ITGB3 SNX4 ITGAV STAM2 ITGA5 CBL SNX1 SH3KBP1 ERRFI1 ST3GAL6
PDGFRA,PTPN11 TNK2 CRKL PIK3R1 ERRFI1 CRK GRB2 PLCG1 SNX2 SNX4 SNX1 RAPGEF1
EIF3M,EIF3B EIF3C EIF3E EIF3H EIF3A EIF3D EIF3J EIF3F EIF3G EIF3K EIF3L EIF3I
PRIM1,RPA1 TOP2A PRIM2 POLE POLD2 POLD3 POLE2 LIG1 RFC1 PCNA POLD1 POLA1 POLE4 POLA2 POLD4 TOP1 POLE3
PRIM2,RPA1 TOP2A POLE POLD2 POLD3 POLE2 LIG1 RFC1 PCNA POLD1 PRIM1 POLA1 POLE4 POLA2 POLD4 TOP1 POLE3
TFRC,CD4 VIM PTPRC LCK TF TUBA1C PTPRCAP MYH9 AP1G1 LZTFL1 TUBB SNX1
GTF3C1,GTF3C3 GTF3C2 BDP1 TBP SUB1 GTF3C5 GTF3A TOP1 BRF1 GTF3C4
GTF3C2,GTF3C3 BDP1 TBP SUB1 GTF3C5 GTF3A TOP1 BRF1 GTF3C1 GTF3C4
GTF3C4,GTF3C3 GTF3C2 BDP1 TBP SUB1 GTF3C5 GTF3A TOP1 BRF1 GTF3C1
GTF3C5,GTF3C3 GTF3C2 BDP1 TBP SUB1 GTF3A TOP1 BRF1 GTF3C1 GTF3C4
